,date,date_utc,open,high,low,close,volume
310,03-09-2023,1678393800,173.66,174.83,173.47,173.87,6619228
311,03-09-2023,1678394700,173.91,174.12,172.51,172.84,9161364
312,03-10-2023,1678458600,175.13,176.0,169.25,170.15,23352671
313,03-10-2023,1678459500,170.17,173.79,168.44,172.58,14052180
314,03-10-2023,1678460400,172.57,175.33,172.42,174.45,11223748
315,03-10-2023,1678461300,174.48,175.45,171.9,174.02,10670532
316,03-10-2023,1678462200,174.03,176.44,173.7,174.1,10492788
317,03-10-2023,1678463100,174.08,177.08,173.81,176.85,8680748
318,03-10-2023,1678464000,176.85,177.6,175.85,176.5,7870752
319,03-10-2023,1678464900,176.47,177.5,175.62,177.41,6567556
320,03-10-2023,1678465800,177.41,178.29,176.72,176.98,7033194
321,03-10-2023,1678466700,177.0,177.16,175.4,175.85,6279455
322,03-10-2023,1678467600,175.9,176.45,174.45,175.1,5816142
323,03-10-2023,1678468500,175.07,175.42,174.61,175.23,3907352
324,03-10-2023,1678469400,175.25,176.77,175.11,175.5,5262752
325,03-10-2023,1678470300,175.5,176.09,173.75,173.95,4891718
326,03-10-2023,1678471200,173.93,174.85,173.54,174.52,4389182
327,03-10-2023,1678472100,174.54,174.83,173.44,173.8,4879254
328,03-10-2023,1678473000,173.8,173.94,172.2,172.59,5419869
329,03-10-2023,1678473900,172.58,172.95,171.77,172.77,5523530
330,03-10-2023,1678474800,172.77,174.68,172.74,173.9,6085091
331,03-10-2023,1678475700,173.9,174.38,172.86,172.96,4251165
332,03-10-2023,1678476600,172.96,174.65,172.94,173.86,4475729
333,03-10-2023,1678477500,173.89,175.5,173.88,174.62,5391674
334,03-10-2023,1678478400,174.65,175.16,174.06,174.48,5469286
335,03-10-2023,1678479300,174.49,175.12,173.7,174.51,4250014
336,03-10-2023,1678480200,174.52,174.63,172.51,172.84,4885048
337,03-10-2023,1678481100,172.86,173.72,172.43,173.5,6151467
338,03-13-2023,1678714200,167.46,168.85,163.91,165.13,22198214
339,03-13-2023,1678715100,165.12,170.2,164.8,169.34,12594092
340,03-13-2023,1678716000,169.28,171.11,168.58,169.4,8601733
341,03-13-2023,1678716900,169.43,170.76,168.6,168.91,6120887
342,03-13-2023,1678717800,168.96,170.63,168.52,169.83,7791334
343,03-13-2023,1678718700,169.89,170.2,167.75,169.8,8105168
344,03-13-2023,1678719600,169.81,171.05,169.23,170.55,5281916
345,03-13-2023,1678720500,170.55,172.87,170.49,172.73,7904258
346,03-13-2023,1678721400,172.68,172.93,171.12,171.78,5652152
347,03-13-2023,1678722300,171.84,172.74,170.96,172.3,4778272
348,03-13-2023,1678723200,172.28,174.15,172.11,173.72,5806257
349,03-13-2023,1678724100,173.74,174.5,172.78,173.33,5948642
350,03-13-2023,1678725000,173.36,174.44,172.67,173.94,4086787
351,03-13-2023,1678725900,173.91,174.45,171.46,171.99,5001694
352,03-13-2023,1678726800,171.99,172.48,170.95,172.16,4153954
353,03-13-2023,1678727700,172.13,173.44,171.68,173.18,3624384
354,03-13-2023,1678728600,173.18,174.17,172.8,173.67,4041702
